,Sim,MBD_power2,MBD_power4,MBD_power8,MBD_power9,MBD_Gfront2,MBD_Gfront4,MBD_Gfront8,MBD_Gfront9,MBD_Grear2,MBD_Grear4,MBD_Grear9,MBD_Modtemp2,MBD_Modtemp4,MBD_Modtemp8,MBD_Modtemp9
0,TMY2020,0.9979681092765932,-3.6548178625153183,1.1437854840065729,-13.069100660487752,-1.8124140843812588,-1.8124140843812588,-1.8124140843812588,2.757567591210253,-34.15026011773634,-33.29897048159181,-33.94124228014085,-22.23556044998577,-26.667471658950348,-98.77135731456117,-24.272030178745933
1,TMYA01,0.9663174878415244,-3.6812408576158857,1.1464350694397805,-13.054769086512017,-1.807714546399587,-1.807714546399587,-1.807714546399587,2.7615255688159537,-34.22502918035478,-33.35805835498837,-33.95945712682091,-22.22219975215573,-26.655687598635566,-98.77096929082694,-24.265883855627514
2,00,5.876875846697706,1.301413280944606,4.898214509037305,-6.871007021863518,4.013386621923423,4.013386621923423,4.013386621923423,8.6306202519775,-29.743726570498495,-28.819633276039106,-29.3157994575545,-10.38092934676234,-15.274351287641887,-98.72205713686088,-12.706042796284317
3,A01,5.924094138081117,1.3486436685036771,4.9034575209861835,-6.815175259330583,4.018210875367012,4.018210875367012,4.018210875367012,8.63434083611621,-29.26229603641398,-28.329584517309048,-28.79312652657492,-10.343706697818975,-15.237475832900774,-98.72198645869862,-12.683256766767618
4,A02,6.093460116113543,1.5218618056372493,4.916446796162572,-6.6247140675218406,4.031554892135834,4.031554892135834,4.031554892135834,8.649246282287917,-27.092592163556105,-26.12542071178905,-26.68063026083718,-10.335921818996193,-15.23068579326101,-98.72177891474503,-12.675579023098683
5,A03,6.730295294322855,2.1779880546744255,4.947861280070293,-5.864997658640263,4.065747601948815,4.065747601948815,4.065747601948815,8.685326853108712,-18.47645856736336,-17.373104592652577,-18.152362658345943,-10.321180545448392,-15.217835336050308,-98.7213873575986,-12.661756440085547
6,A04,5.491689216497117,0.9083803405906602,4.8898664908920555,-7.306719106884338,4.004500039129392,4.004500039129392,4.004500039129392,8.621054943544134,-34.79245735480536,-33.95100446598021,-34.32158313616356,-10.531766545984889,-15.424215429454252,-98.72222205204784,-12.884821074678483
7,W01,5.355304750946016,0.9366866342693506,4.458216941385965,-6.859406441317697,4.013386621923423,4.013386621923423,4.013386621923423,8.6306202519775,-29.743726570498495,-28.819633276039106,-29.3157994575545,-8.492663997186852,-13.622593292884762,-98.72680861442295,-11.014318636667165
8,W02,5.636178185715105,1.1331364248729514,4.696263010233209,-6.864854093160748,4.013386621923423,4.013386621923423,4.013386621923423,8.6306202519775,-29.743726570498495,-28.819633276039106,-29.3157994575545,-9.516783343462647,-14.518441498242478,-98.72424179430051,-11.934692854622204
9,W03,5.5909713456954355,1.1048243162458833,4.669985980460571,-6.8630446622630386,4.013386621923423,4.013386621923423,4.013386621923423,8.6306202519775,-29.743726570498495,-28.819633276039106,-29.3157994575545,-9.265625389735671,-14.298743703693775,-98.72473840899603,-11.714088341860425
10,T01,5.917965228097305,1.3335027502997043,4.947136579132549,-6.871206043149898,4.013394616404243,4.013394616404243,4.013394616404243,8.630625647777455,-29.743708324674284,-28.819614887468884,-29.315788370387335,-10.573199881058704,-15.466622111991464,-98.72156952628349,-12.898372053507549
11,T02,5.803324109644889,1.2448468876748233,4.87879594541439,-6.866573869122755,4.013338035573409,4.013338035573409,4.013338035573409,8.630607195914598,-29.74466374557335,-28.819700342191584,-29.315836796731702,-10.311242311204865,-15.204664055405026,-98.72217422342075,-12.636325789775452
12,T03,6.106347586375118,1.4784646198652627,5.116069081282621,-6.883753636143361,4.013424081404843,4.013424081404843,4.013424081404843,8.630622896812337,-29.74372262183411,-28.819628161496595,-29.315795146518983,-11.386987791347906,-16.280410101288886,-98.71961425984368,-13.712317131163568
13,T04,6.106347586375118,1.4784646198652627,5.116069081282621,-6.883753636143361,4.013424081404843,4.013424081404843,4.013424081404843,8.630622896812337,-29.74372262183411,-28.819628161496595,-29.315795146518983,-11.386987791347906,-16.280410101288886,-98.71961425984368,-13.712317131163568
14,S01,5.506878173371793,0.9349310892178675,4.526214057649281,-7.258352034122513,3.6365782576428014,3.6365782576428014,3.6365782576428014,8.26268034330931,-30.253875490769403,-29.334018806849777,-29.803385755215686,-10.986089340727649,-15.834325015568439,-98.72838618602003,-13.239790121072721
15,S02,5.518991247413059,0.9427533820558072,4.505735091260901,-7.2808275422499635,3.6060373048595933,3.6060373048595933,3.6060373048595933,8.64353438034861,-29.961246594545756,-29.0422002612457,-29.52257718161462,-10.61123290229742,-15.47653660465254,-98.72950865932354,-12.86427038830802
16,S03,1.2611103537054145,-3.2066801117797414,-0.1699295069656224,-12.306554773109786,-1.139121623439643,-1.139121623439643,-1.139121623439643,2.5969491642391294,-29.743726570498495,-28.819633276039106,-29.3157994575545,-12.425825719837553,-17.062911165274013,-98.78389691629512,-14.85882979296173
17,S04,5.107788553873383,0.5563676076215783,4.057186800634939,-7.701684901460902,3.1554526188304504,3.1554526188304504,3.1554526188304504,7.695098702946665,-29.743726570498495,-28.819633276039106,-29.3157994575545,-10.721831200754051,-15.574232099260271,-98.73198204991112,-12.992148053082778
18,S05,4.754871625172449,0.20485803530727126,3.701504879249611,-8.032003160088012,2.791478972944124,2.791478972944124,2.791478972944124,7.394150586761482,-30.253875490769403,-29.334018806849777,-29.803385755215686,-11.298085855930795,-16.11748577945246,-98.73822136142513,-13.52086496570566
19,S07,4.7421318830656425,0.18905284771109457,3.654364785633098,-8.054480686073516,2.7359400701885144,2.7359400701885144,2.7359400701885144,7.776884318608546,-29.961246594545756,-29.0422002612457,-29.52257718161462,-10.95910621706716,-15.782525391281295,-98.7396275984794,-13.173146181631168
